registry_id,classification,priority,evidence_quality,action_required,notes,scan_date
ebay-auto,false_positive,P1,A,remove from registry,'eBay Auto' is NOT an official eBay brand. Official automotive brand is 'eBay Motors'. No official usage found.,2026-04-29
ebay-buyer-guarantee,false_positive,P1,B,Remove from registry as false positive; not a formal eBay program name,"'eBay Buyer Guarantee' does not appear as a formal program name on any current eBay page. The active programs are 'eBay Money Back Guarantee' (core, g",2026-04-29
ebay-guaranteed-delivery,status_changed_deprecated,P1,B,Merge with guaranteed-delivery node or mark as deprecated; de facto ended ~2021; no formal deprecation announcement,eBay Guaranteed Delivery is the same program as 'guaranteed-delivery' — same de facto deprecated status. Page at pages.ebay.com/shipping/guaranteed-de,2026-04-29
guaranteed-delivery,status_changed_deprecated,P1,B,Mark as de facto deprecated; add note: 'page persists but program functionally ended ~2021'; update status to legacy or deprecated,eBay Guaranteed Delivery: static page at pages.ebay.com/shipping/guaranteed-delivery.html still accessible (2026 copyright) but community reports and ,2026-04-29
knownorigin,status_changed_deprecated,P1,A,Wave 5 node — review status in registry,KnownOrigin — NFT marketplace acquired June 2022. eBay laid off 30% of staff Feb 2024 and shut down mid-2024. Status in Wave 5 file says 'current' — I,2026-04-29
managed-delivery,status_changed_deprecated,P1,A,Update status to deprecated/legacy; add end_date: 2019; add note: unrelated to UK Simple Delivery; distinguish from managed-payments,"eBay Managed Delivery was the original US fulfillment service announced in 2019 (warehousing, pick/pack/ship via logistics partners). It was shut down",2026-04-29
managed-display,false_positive,P1,C,"Remove from registry or reclassify as legacy internal label; if referring to enterprise display, note as internal term only",No public eBay product called 'Managed Display' found 2022-2026. The self-serve display product was 'Promoted Display' (2022-2023) renamed to 'Promote,2026-04-29
promoted-brand,false_positive,P1,C,Remove from registry as false positive; no eBay advertising product by this name,"'Promoted Brand' does not exist as a named eBay advertising product. No public page, press release, or seller-facing documentation uses this name. The",2026-04-29
cbt-seller-dashboard,name_correction,P2,A,Add canonical URL export.ebay.com/en/growth/seller-performance/cbt-seller-dashboard/; correct parent to Export/CBT umbrella; expand description with f,CBT (Cross-Border Trade) Seller Dashboard LIVE at export.ebay.com/en/growth/seller-performance/cbt-seller-dashboard/. Tracks BBE (Bad Buyer Experience,2026-04-29
deals-seller-portal,name_correction,P2,A,Add market: AU; add canonical URL sellerportal.ebay.com.au; note US Deals is invite-only (no self-serve portal); update description,Deals Seller Portal LIVE in Australia at sellerportal.ebay.com.au. Invitation-only (Managed Sellers or invitation). Two deal types: Co-funded and Sell,2026-04-29
ebay-academy,name_correction,P2,B,Update canonical URL to academy.ebay.com; note Seller Center link redirects to homepage; do NOT mark as deprecated,eBay Academy is LIVE at academy.ebay.com (not the Seller Center deep-link which redirects to homepage). Official Terms of Use at pages.ebay.com/ebay-a,2026-04-29
ebay-ambassador,name_correction,P2,A,Update entry: add ambassador.ebay.com as canonical URL; add note that program relaunched as affiliate/commerce model April 2025; distinguish from old ,eBay Ambassador Program relaunched April 2025 as full affiliate/commerce program at ambassador.ebay.com. All US users eligible from August 2025. Earn ,2026-04-29
ebay-concierge,name_correction,P2,A,Keep as live node but add critical note: membership criteria tightened to top 10% GMV; mass member removals Sept 2025; Anchor Store no longer guarante,eBay Concierge LIVE with a Help page at ebay.com/help/account/changing-account-settings/ebay-concierge?id=4358. However: eBay conducted sweeping remov,2026-04-29
ebay-fulfilment,name_correction,P2,A,Update name to 'eBay Fulfilment by Orange Connex'; add market: UK; add canonical URL ebay.co.uk/sml/fulfilment; add note: 2025 starter offer active,"eBay Fulfilment LIVE in UK at ebay.co.uk/sml/fulfilment. Full official name: 'eBay Fulfilment by Orange Connex'. Launched July 26, 2021. Fulfilment ce",2026-04-29
ebay-guaranteed-fit,name_correction,P2,A,confirm name field shows 'eBay Guaranteed Fit' not just 'Guaranteed Fit',Full official name is 'eBay Guaranteed Fit' — live at pages.ebay.com/motors/ebay-guaranteed-fit/. Registry should use full name.,2026-04-29
ebay-wow-de,name_correction,P2,A,update name to 'eBay WOW!',eBay WOW! (DE) — official name includes '!'. Live at ebay.de/deals.,2026-04-29
fast-and-free,name_correction,P2,B,Update description: 'Fast and Free' is now informal/colloquial; formal naming is delivery time badges; status should be 'legacy' or 'functional label',"The formal 'Fast 'N Free' badge (truck icon) was retired ~2021 and replaced with specific delivery time tags: 'Free delivery in 2 days', 'Free deliver",2026-04-29
global-shipping-toggle,name_correction,P2,B,Update description: toggle now refers to eIS enrollment; update parent from global-shipping-program to ebay-international-shipping,"Global Shipping Toggle exists in listing flow but now refers to eBay International Shipping (eIS) enrollment, not the old Global Shipping Program (GSP",2026-04-29
new-seller-journey,name_correction,P2,B,Update canonical URL to export.ebay.com/en/nsj/; add note: scoped to international/export sellers (not domestic US Seller Hub); update parent to Expor,"New Seller Journey LIVE at export.ebay.com/en/nsj/ — under the eBay Export platform (not domestic Seller Center). Application-based, limited capacity.",2026-04-29
offsite-ads,status_changed_renamed,P2,A,Mark as renamed; renamedTo: promoted-offsite; effective_date: 2024-07-01,'Offsite Ads' was the old name for Promoted Offsite. Renamed to 'Promoted Offsite' in July 2024. CPC model for external channels.,2026-04-29
pro-trader-program,name_correction,P2,B,Clarify market scope for pro-trader-program node; UK version may need rename to 'Account Management Services'; DE version is 'Pro Trader Programme'. C,"Pro Trader programs are live but named differently per market: UK = 'Account Management Services' (formerly 'Pro-Trader Plus', rebranded; £399/mo Acco",2026-04-29
promoted-listings-advanced,status_changed_renamed,P2,A,update status: renamed; renamedTo: promoted-listings-priority,Promoted Listings Advanced (old name) — renamed to Promoted Listings Priority Summer 2024,2026-04-29
promoted-listings-general,name_correction,P2,A,update name to 'Promoted Listings General',ID says 'general' but display name shows 'Promoted Listings Standard' — correct name is 'Promoted Listings General' (renamed Summer 2024),2026-04-29
promoted-listings-priority,name_correction,P2,A,update name to 'Promoted Listings Priority',ID says 'priority' but display name shows 'Promoted Listings Advanced' — correct name is 'Promoted Listings Priority' (renamed Summer 2024),2026-04-29
promoted-listings-standard,status_changed_renamed,P2,A,update status: renamed; renamedTo: promoted-listings-general,Promoted Listings Standard (old name) — renamed to Promoted Listings General Summer 2024,2026-04-29
promoted-offsite,name_correction,P2,A,Update name if still showing 'Offsite Ads'; confirm canonical_url to /sellercenter/growth/ebay-advertising/promoted-offsite; mark offsite-ads as renam,Promoted Offsite LIVE at ebay.com/sellercenter/growth/ebay-advertising/promoted-offsite. Renamed from 'Offsite Ads' in July 2024 as part of eBay's adv,2026-04-29
promotions-manager,status_changed_renamed,P2,A,update status: renamed; renamedTo: seller-hub-discounts,Promotions Manager URL redirects to seller-hub-promotions; live page calls tool 'Seller Hub Discounts',2026-04-29
