source_row_id_or_node_id,original_name,normalized_name,current_bucket,recommended_bucket,status,why_current_is_wrong,why_fix_is_right,rationale,slide_basis,context_note,recommended_action
item-specifics,Item Specifics,item specifics,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
item-specifics-multi-market,Item Specifics,item specifics,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
quick-listing-tool,Quick Listing Tool,quick listing tool,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
quick-listing-tool-multi-market,Quick Listing Tool,quick listing tool,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-guaranteed-fit,eBay Guaranteed Fit,guaranteed fit,item_trust,platform_trust,incorrect,Guaranteed Fit is classified as item_trust (Tier C) but it is a platform-wide transaction assurance  eBay backstops the promise with its own return/refund guarantee for misfit parts. No physical or digital item inspection occurs; the promise is made at the marketplace level.,"Slide 20 explicitly places Guaranteed Fit under Platform Trust alongside eBay MBG and Secure Purchase. The mechanism is buyer protection/resolution (eBay steps in if part does not fit), not item-level vetting or authentication.","Platform trust = marketplace-wide assurances eBay stands behind (slide 4). Guaranteed Fit is a platform-backed return guarantee, not an item authentication or accuracy vetting signal.","4, 20","Distinct from condition verification. Fitment is about compatibility accuracy (platform promise), not item authentication.",move
guaranteed-fit,eBay Guaranteed Fit,guaranteed fit,item_trust,platform_trust,incorrect,Same signal as ebay-guaranteed-fit (US automotive parts fitment program). Classified as item_trust Tier C but no item-level vetting occurs; it is an eBay-backed return promise.,Slide 20 places Guaranteed Fit under Platform Trust. This node duplicates the signal under a different parent (ebay-motors) but the classification logic is identical.,"Platform-wide buyer protection for fitment; mechanism is resolution/refund, not item authentication. Slide 4, 20.","4, 20",Duplicate context with ebay-guaranteed-fit under ebay-motors parent.,move
certified-refurbished,Certified Refurbished,certified refurbished,not_trust_related,item_trust,incorrect,Classified as non_trust. Certified Refurbished is the top tier of eBay Refurbished  manufacturer-certified condition with a comprehensive warranty. It is a listing-level item trust signal.,Sub-tier of eBay Refurbished which slide 20 places under Item Trust Tier C. Manufacturer certification of a specific item's condition is the definition of item trust accuracy (slide 9).,"Item trust Tier C sub-tier. Manufacturer certification attaches to the specific item. Slide 4, 9, 13, 20.","4, 9, 13, 20",Top condition tier of eBay Refurbished. Same trust layer as the parent program.,move
fitment-plus-auto,Fitment Plus Auto,fitment plus auto,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
fitment-finder,Fitment Finder,fitment finder,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
fitment-plus,Fitment Plus,fitment plus,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
