registry_id,classification,evidence_quality,action_required,notes_summary,scan_date,review_complete
1-day-handling,existing_validated,A,,Seller handling commitment badge — live,2026-04-29,yes
1099-k-tax-form,existing_validated,A,,Legal/policy document — 1099-K Tax Form maintained by eBay legal/compliance team,2026-04-29,yes
2-step-verification,existing_validated,B,,Active platform feature — 2-Step Verification (parent: two-factor-authentication). Consistent with current eBay function,2026-04-29,yes
30-day-returns,existing_validated,A,,Return policy label — live,2026-04-29,yes
360-spin,existing_validated,B,,Active platform feature — 360 Spin (parent: listing-designer). Consistent with current eBay functionality.,2026-04-29,yes
60-day-returns,existing_validated,A,,Return policy label — live,2026-04-29,yes
about-me,existing_validated,A,,"About Me seller profile page — live, free HTML page on all eBay markets",2026-04-29,yes
above-standard,existing_validated,B,,Active platform feature — Above Standard (parent: seller-performance-standards). Consistent with current eBay functional,2026-04-29,yes
accept-offer,existing_validated,B,,Active platform feature — Accept Offer (parent: best-offer). Consistent with current eBay functionality.,2026-04-29,yes
accept-return,existing_validated,B,,Active platform feature — Accept Return (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
account-management-plus,existing_validated,A,,Enterprise seller service — live,2026-04-29,yes
account-management-premium,existing_validated,A,,Enterprise seller service — live,2026-04-29,yes
account-security,existing_validated,A,,Account security program — live,2026-04-29,yes
account-settings,existing_validated,B,,Active platform feature — Account Settings (parent: my-ebay). Consistent with current eBay functionality.,2026-04-29,yes
account-suspended,existing_validated,B,,Active platform feature — Account Suspended (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
account-suspension,existing_validated,B,,Active platform feature — Account Suspension (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
active-content-policy,existing_validated,A,,Legal/policy document — Active Content Policy maintained by eBay legal/compliance team,2026-04-29,yes
active-listings,existing_validated,B,,Active platform feature — Active Listings (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
ad-attribution,existing_validated,B,,Active platform feature — Ad Attribution (parent: promoted-listings). Consistent with current eBay functionality.,2026-04-29,yes
ad-fee,existing_validated,B,,Active platform feature — Ad Fee (parent: promoted-listings). Consistent with current eBay functionality.,2026-04-29,yes
ad-rate-recommendation,existing_validated,B,,Active platform feature — Ad Rate Recommendation (parent: promoted-listings). Consistent with current eBay functionality,2026-04-29,yes
add-payment-method,existing_validated,B,,Active platform feature — Add Payment Method (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
add-to-cart,existing_validated,B,,Active platform feature — Add to Cart (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
add-to-watch-list,existing_validated,B,,Active platform feature — Add to Watch List (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
add-to-watchlist,existing_validated,B,,Active platform feature — Add to Watchlist (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
advanced-listing-tool,existing_validated,B,,Active platform feature — Advanced Listing Tool (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
advanced-search,existing_validated,B,,Active platform feature — Advanced Search (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
advertising,existing_validated,A,,Structural hierarchy node — Advertising is valid taxonomy entry,2026-04-29,yes
ai-banner,existing_validated,B,,Active platform feature — AI Banner (parent: ebay-stores). Consistent with current eBay functionality.,2026-04-29,yes
ai-snap,existing_validated,B,,Active platform feature — AI Snap (parent: magical-listing). Consistent with current eBay functionality.,2026-04-29,yes
analytics,existing_validated,A,,Structural hierarchy node — Analytics is valid taxonomy entry,2026-04-29,yes
anniversary-sale,existing_validated,A,,Recurring eBay sale event — live,2026-04-29,yes
antiques,existing_validated,A,,Antiques vertical — live,2026-04-29,yes
app-store-promotion,existing_validated,C,,App Store Promotion is a generic campaign type for promoting eBay app downloads via Apple App Store / Google Play Store.,2026-04-29,yes
apple-pay,existing_validated,B,,Active platform feature — Apple Pay (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
ask-question,existing_validated,B,,Active platform feature — Ask Question (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
ask-seller-question,existing_validated,B,,Active platform feature — Ask Seller a Question (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
assured-fit,duplicate,A,"Merge: Mark assured-fit as regional alias of ebay-guaranteed-fit; add market variants to ebay-guaranteed-fit node (US: Guaranteed Fit, UK: Assured Fit, DE: Fahrzeugteile-Versprechen)","Assured Fit IS eBay Guaranteed Fit with UK regional branding. Regional names: US = 'eBay Guaranteed Fit', UK = 'eBay Ass",2026-04-29,yes
aste-di-beneficenza,existing_validated,A,,Italian charity auctions — live on eBay Italy,2026-04-29,yes
auction,existing_validated,A,,Structural hierarchy node — Auction is valid taxonomy entry,2026-04-29,yes
auction-ended,existing_validated,B,,Active platform feature — Auction Ended (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
auction-format,existing_validated,B,,Active platform feature — Auction Format (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
auction-style-listings,existing_validated,B,,Active platform feature — Auction-Style Listings (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
